sensor_type,timestamp,sensor_0,sensor_1,sensor_2,estimate_x,estimate_y,estimate_vx,estimate_vy,ground_truth_x,ground_truth_y,ground_truth_vx,ground_truth_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
1,1477010445450000,13.4856,0.198883,5.44642,13.0757,2.21225,5.12727,1.90191,13.0075,2.33137,4.64258,2.01701,0.0580144,0.0909803,0.973108,0.449952
0,1477010445500000,13.0875,2.40708,,13.2843,2.35799,4.99044,2.10728,13.2388,2.43409,4.605,2.08981,0.057796,0.090712,0.965031,0.445525
1,1477010445550000,13.0871,0.241065,4.51275,13.454,2.51194,4.42021,2.16833,13.4682,2.54047,4.56565,2.16317,0.0572711,0.0899226,0.95592,0.441221
0,1477010445600000,13.836,2.62479,,13.7017,2.61623,4.44357,2.22965,13.6955,2.65053,4.52448,2.23703,0.0567345,0.0891947,0.946924,0.43704
1,1477010445650000,14.0988,0.19551,4.80612,13.921,2.73074,4.43294,2.31684,13.9208,2.7643,4.48147,2.31134,0.0562067,0.0884829,0.938138,0.432975
0,1477010445700000,14.2106,2.94205,,14.149,2.88232,4.40049,2.48718,14.1439,2.88179,4.43656,2.38601,0.0556977,0.0876748,0.929583,0.429238
1,1477010445750000,14.8371,0.194676,5.23337,14.4002,3.00482,4.65195,2.65487,14.3646,3.00303,4.38974,2.46099,0.0554027,0.0868888,0.921912,0.426176
0,1477010445800000,14.4616,2.90734,,14.612,3.05465,4.59363,2.47369,14.583,3.12802,4.34097,2.5362,0.055049,0.0866699,0.914402,0.422503
1,1477010445850000,15.2004,0.263587,5.15707,14.8412,3.22715,4.63773,2.71852,14.7989,3.25679,4.29021,2.61157,0.0548547,0.0860075,0.907633,0.41908
0,1477010445900000,15.0261,3.5067,,15.0557,3.42438,4.5385,2.96659,15.0122,3.38932,4.23744,2.68703,0.054682,0.0853976,0.900761,0.417104
1,1477010445950000,15.9183,0.263598,4.66589,15.2627,3.60169,4.24563,3.02451,15.2228,3.52563,4.18263,2.76249,0.0544687,0.0852503,0.893261,0.414995
0,1477010446000000,15.5236,3.82936,,15.4776,3.7822,4.18464,3.18695,15.4306,3.66572,4.12575,2.83789,0.0543542,0.085854,0.885941,0.413998
1,1477010446050000,16.089,0.213597,4.78562,15.6878,3.91619,4.14245,3.19198,15.6355,3.80957,4.06678,2.91315,0.0543214,0.0862286,0.878819,0.41217
0,1477010446100000,15.9774,4.00094,,15.9124,4.04151,4.13421,3.16399,15.8375,3.95719,4.00571,2.98817,0.0547094,0.0861986,0.871967,0.409485
1,1477010446150000,16.8729,0.252565,4.40994,16.1087,4.19546,3.89824,3.1159,16.0363,4.10854,3.94251,3.0629,0.0550308,0.0862099,0.865146,0.406328
0,1477010446200000,16.3313,4.44499,,16.3012,4.38825,3.82917,3.28726,16.2319,4.26363,3.87716,3.13723,0.055279,0.0869295,0.858486,0.403619
1,1477010446250000,17.3477,0.261345,4.72541,16.513,4.55496,3.90359,3.42471,16.4242,4.42242,3.80966,3.21109,0.0559374,0.0877974,0.852035,0.401412
0,1477010446300000,16.6039,4.67344,,16.6904,4.71247,3.81418,3.45018,16.613,4.5849,3.74,3.28438,0.0563188,0.0885226,0.845702,0.39892
1,1477010446350000,17.6757,0.292764,3.91006,16.8464,4.88356,3.39054,3.29433,16.7983,4.75103,3.66817,3.35704,0.056207,0.089327,0.840135,0.396049
0,1477010446400000,16.9955,5.21099,,16.9996,5.11534,3.27006,3.5441,16.9799,4.92077,3.59416,3.42897,0.0558481,0.0917189,0.834937,0.393413
1,1477010446450000,17.9537,0.261769,4.23232,17.1749,5.26976,3.28513,3.59338,17.1579,5.09409,3.51797,3.50008,0.0554851,0.0934509,0.829419,0.390751
0,1477010446500000,17.2894,5.43542,,17.3286,5.44801,3.19408,3.65246,17.3319,5.27094,3.4396,3.57028,0.0550943,0.0951403,0.824072,0.388112
1,1477010446550000,18.2733,0.262734,4.05972,17.4907,5.59584,3.12879,3.60399,17.5019,5.45128,3.35907,3.63949,0.0547265,0.096001,0.81878,0.385431
0,1477010446600000,17.7853,5.62476,,17.6814,5.70696,3.15179,3.46317,17.6679,5.63506,3.27637,3.70762,0.0543734,0.0957119,0.813283,0.383849
1,1477010446650000,18.9222,0.326645,3.86213,17.8328,5.88388,3.01347,3.46063,17.8297,5.82221,3.19151,3.77458,0.054006,0.0953329,0.808034,0.38299
0,1477010446700000,18.1263,6.16985,,18.0003,6.0915,2.98064,3.60769,17.9872,6.01269,3.10453,3.84027,0.0536662,0.0951315,0.802757,0.381375
1,1477010446750000,19.3547,0.35846,4.07937,18.1546,6.29586,2.97502,3.77654,18.1402,6.20641,3.01542,3.90462,0.0533374,0.0950589,0.797471,0.379142
0,1477010446800000,18.2164,6.66138,,18.2711,6.5611,2.80228,4.04667,18.2888,6.40332,2.92421,3.96753,0.0530282,0.0961361,0.792398,0.37678
1,1477010446850000,19.6966,0.364545,3.87628,18.4048,6.77293,2.67298,4.1006,18.4328,6.60333,2.83093,4.0289,0.0527823,0.0974291,0.787505,0.374445
0,1477010446900000,18.5422,6.76013,,18.5546,6.89203,2.66413,3.90193,18.572,6.80638,2.7356,4.08867,0.0524835,0.0972889,0.782546,0.37266
1,1477010446950000,20.1556,0.367622,4.11203,18.7055,7.10308,2.73637,4.11124,18.7064,7.01237,2.63825,4.14672,0.0521546,0.0972095,0.777717,0.370345
0,1477010447000000,19.1441,7.18344,,18.9109,7.23331,2.84163,3.92648,18.8359,7.22122,2.53893,4.20299,0.0524968,0.0966169,0.773633,0.369332
1,1477010447050000,19.9701,0.379671,3.50583,19.0057,7.41061,2.51717,3.71776,18.9604,7.43283,2.43767,4.25737,0.0524151,0.0960573,0.768952,0.371878
0,1477010447100000,19.0138,7.8688,,19.0825,7.71358,2.31192,4.08202,19.0798,7.64712,2.3345,4.3098,0.0520993,0.0957552,0.764309,0.370476
1,1477010447150000,20.7779,0.37828,3.78648,19.2076,7.91456,2.31393,4.18504,19.1939,7.86397,2.22949,4.36017,0.0518099,0.0953434,0.759802,0.36876
0,1477010447200000,19.132,8.12845,,19.282,8.14322,2.14206,4.28227,19.3028,8.08329,2.12266,4.40842,0.0515535,0.0950035,0.755322,0.366839
1,1477010447250000,20.7048,0.405728,3.77514,19.381,8.35459,2.11558,4.4073,19.4062,8.30497,2.01409,4.45445,0.0513247,0.094601,0.750998,0.364736
0,1477010447300000,19.347,8.30741,,19.4812,8.48383,2.06917,4.17934,19.5042,8.5289,1.90381,4.49819,0.0510887,0.0941797,0.74688,0.364241
1,1477010447350000,21.3856,0.401578,3.38244,19.5784,8.67823,1.95126,4.11264,19.5966,8.75494,1.7919,4.53956,0.0508348,0.0939994,0.742818,0.365014
0,1477010447400000,20.0039,8.8906,,19.7409,8.85479,2.02538,4.05629,19.6835,8.983,1.67841,4.57848,0.0509144,0.0944527,0.739548,0.367154
1,1477010447450000,21.7806,0.450652,3.22397,19.8221,9.06103,1.84986,3.98748,19.7645,9.21294,1.56341,4.61488,0.0509936,0.0952816,0.736048,0.37105
0,1477010447500000,20.1574,9.45949,,19.9437,9.31301,1.82365,4.16299,19.8398,9.44463,1.44697,4.64869,0.0518679,0.0957559,0.733057,0.372502
1,1477010447550000,21.9129,0.461931,2.96707,19.9987,9.51354,1.57399,3.99759,19.9093,9.67795,1.32916,4.67984,0.0524219,0.0967643,0.729509,0.377238
0,1477010447600000,20.1573,9.90876,,20.0726,9.77957,1.45643,4.2116,19.9728,9.91275,1.21005,4.70826,0.0531567,0.0972285,0.726026,0.378723
1,1477010447650000,22.3983,0.541745,3.37282,20.1314,10.0423,1.388,4.52118,20.0303,10.1489,1.08972,4.73389,0.0538924,0.0973335,0.722808,0.377341
0,1477010447700000,20.166,10.4687,,20.1696,10.3477,1.16573,4.77815,20.0818,10.3863,0.968259,4.75666,0.0543606,0.0969007,0.71928,0.375356
1,1477010447750000,22.4479,0.502078,2.77693,20.1842,10.5833,0.877747,4.6446,20.1271,10.6247,0.845742,4.77652,0.0543903,0.0964873,0.715531,0.373639
0,1477010447800000,20.371,11.0109,,20.2346,10.8735,0.724821,4.83461,20.1663,10.864,0.722256,4.7934,0.0545516,0.0959935,0.711833,0.371731
1,1477010447850000,23.0204,0.565755,3.01803,20.2546,11.1531,0.571715,5.05418,20.1993,11.1041,0.597892,4.80727,0.0545585,0.0956303,0.708197,0.37067
0,1477010447900000,20.3164,11.3483,,20.2943,11.3791,0.489091,4.98707,20.2261,11.3449,0.472738,4.81807,0.0547125,0.0952083,0.704613,0.369184
1,1477010447950000,22.776,0.567455,2.08835,20.2405,11.6229,0.0747604,4.697,20.2466,11.5861,0.346889,4.82575,0.0544417,0.0948026,0.701609,0.367559
0,1477010448000000,20.6141,11.9422,,20.317,11.8422,0.0967324,4.63972,20.2608,11.8275,0.220439,4.83027,0.0544592,0.0943434,0.698236,0.366226
1,1477010448050000,23.2786,0.540021,3.0094,20.3375,12.0908,0.110761,5.00672,20.2687,12.0692,0.093487,4.83159,0.0546183,0.0939043,0.694807,0.364839
0,1477010448100000,20.3263,12.4966,,20.3157,12.4016,-0.122832,5.19207,20.2701,12.3108,-0.0338694,4.82968,0.0545374,0.0938749,0.691481,0.364815
1,1477010448150000,23.5919,0.557529,1.9646,20.2639,12.6372,-0.423866,4.89717,20.2652,12.5522,-0.161529,4.82451,0.0542747,0.0937933,0.688629,0.363127
0,1477010448200000,20.498,12.8924,,20.3006,12.8505,-0.414088,4.77743,20.254,12.7933,-0.28939,4.81605,0.0542067,0.0935122,0.68545,0.361413
